familyid | genusid | latinname | namezh | lowertaxa
10638 | 123633 | Pachystoma | 粉口兰属 | 2
10638 | 123764 | Panisea | 曲唇兰属 | 6
10638 | 123796 | Paphiopedilum | 兜兰属 | 36
10638 | 123803 | Papilionanthe | 凤蝶兰属 | 4
10638 | 200465 | Parapteroceras | 虾尾兰属 | 1
10638 | 124216 | Pecteilis | 白蝶兰属 | 3
10638 | 124272 | Pelatantheria | 钻柱兰属 | 4
10638 | 124277 | Pelexia | 肥根兰属 | 1
10638 | 135431 | Penkimia | 心启兰属 | 1
10638 | 124349 | Pennilabium | 巾唇兰属 | 1
10638 | 124588 | Peristylus | 阔蕊兰属 | 21
10638 | 124866 | Phaius | 鹤顶兰属 | 10
10638 | 124878 | Phalaenopsis | 蝴蝶兰属 | 15
10638 | 125087 | Pholidota | 石仙桃属 | 12
10638 | 125138 | Phreatia | 馥兰属 | 4
10638 | 125496 | Pinalia | 苹兰属 | 19
10638 | 125746 | Platanthera | 舌唇兰属 | 51
10638 | 125914 | Pleione | 独蒜兰属 | 25
10638 | 126163 | Podochilus | 柄唇兰属 | 2
10638 | 126258 | Pogonia | 朱兰属 | 3
10638 | 126456 | Polystachya | 多穗兰属 | 1
10638 | 126497 | Pomatocalpa | 鹿角兰属 | 2
10638 | 126517 | Ponerorchis | 小红门兰属 | 13
10638 | 126557 | Porolabium | 孔唇兰属 | 1
10638 | 126577 | Porpax | 盾柄兰属 | 1
10638 | 127452 | Pteroceras | 长足兰属 | 2
10638 | 128139 | Renanthera | 火焰兰属 | 3
10638 | 128428 | Rhomboda | 菱兰属 | 4
10638 | 128505 | Rhynchostylis | 钻喙兰属 | 2
10638 | 128618 | Risleya | 紫茎兰属 | 1
10638 | 128649 | Robiquetia | 寄树兰属 | 2
10638 | 128981 | Saccolabiopsis | 拟囊唇兰属 | 2
10638 | 129217 | Sarcoglyphis | 大喙兰属 | 2
10638 | 129240 | Sarcophyton | 肉兰属 | 1
10638 | 129323 | Satyrium | 鸟足兰属 | 4
10638 | 129640 | Schoenorchis | 匙唇兰属 | 3
10638 | 129987 | Sedirea | 萼脊兰属 | 2
10638 | 130576 | Smithorchis | 反唇兰属 | 1
10638 | 130578 | Smitinandia | 盖喉兰属 | 1
10638 | 130809 | Spathoglottis | 苞舌兰属 | 3
10638 | 131021 | Spiranthes | 绶草属 | 4
10638 | 131219 | Staurochilus | 掌唇兰属 | 3
10638 | 131479 | Stereochilus | 坚唇兰属 | 2
10638 | 131488 | Stereosandra | 肉药兰属 | 1
10638 | 131550 | Stigmatodactylus | 指柱兰属 | 1
10638 | 131912 | Sunipia | 大苞兰属 | 11
10638 | 132206 | Taeniophyllum | 带叶兰属 | 3
10638 | 132220 | Tainia | 带唇兰属 | 14
10638 | 132273 | Tangtsinia | 金佛山兰属 | 1
10638 | 132750 | Thelasis | 矮柱兰属 | 2
10638 | 132891 | Thrixspermum | 白点兰属 | 16
10638 | 132909 | Thunia | 笋兰属 | 1
10638 | 133044 | Tipularia | 筒距兰属 | 4
10638 | 133382 | Trias |   | 1
10638 | 133490 | Trichoglottis | 毛舌兰属 | 2
10638 | 133575 | Trichotosia | 毛鞘兰属 | 4
10638 | 133886 | Tropidia | 竹茎兰属 | 7
10638 | 133921 | Tsaiorchis | 长喙兰属 | 1
10638 | 133946 | Tuberolabium | 管唇兰属 | 1
10638 | 134139 | Uncifera | 叉喙兰属 | 2
10638 | 134346 | Vanda | 万代兰属 | 10
10638 | 134365 | Vandopsis | 拟万代兰属 | 2
10638 | 134375 | Vanilla | 香荚兰属 | 4
10638 | 134700 | Vrydagzynea | 二尾兰属 | 1
10638 | 135215 | Yoania | 宽距兰属 | 1
10638 | 135434 | Ypsilorchis | 丫瓣兰属 | 1
10638 | 135303 | Zeuxine | 线柱兰属 | 15
10639 | 100657 | Aeginetia | 野菰属 | 3
10639 | 104302 | Boschniakia | 草苁蓉属 | 3
10639 | 106923 | Christisonia | 假野菰属 | 1
10639 | 107147 | Cistanche | 肉苁蓉属 | 5
10639 | 113618 | Gleadovia | 藨寄生属 | 2
10639 | 117714 | Lathraea | 齿鳞草属 | 1
10639 | 119625 | Mannagettaea | 豆列当属 | 2
10639 | 123211 | Orobanche | 列当属 | 31
10639 | 124770 | Phacellanthus | 黄筒花属 | 1
10644 | 103253 | Averrhoa | 阳桃属 | 2
10644 | 103966 | Biophytum | 感应草属 | 3
10644 | 123464 | Oxalis | 酢浆草属 | 8
10646 | 123659 | Paeonia | 芍药属 | 27
10648 | 120544 | Microdesmis | 小盘木属 | 1
10649 | 113016 | Freycinetia | 藤露兜树属 | 1
10649 | 123748 | Pandanus | 露兜树属 | 6
10650 | 100616 | Adlumia | 荷包藤属 | 1
10650 | 102532 | Argemone | 蓟罂粟属 | 1
10650 | 106616 | Chelidonium | 白屈菜属 | 1
10650 | 108085 | Corydalis | 紫堇属 | 456
10650 | 109191 | Dactylicapnos | 紫金龙属 | 10
10650 | 109991 | Dicranostigma | 秃疮花属 | 3
10650 | 111768 | Eomecon | 血水草属 | 1
10650 | 112192 | Eschscholzia | 花菱草属 | 1
10650 | 113071 | Fumaria | 烟堇属 | 2
10650 | 113604 | Glaucium | 海罂粟属 | 3
10650 | 116064 | Hylomecon | 荷青花属 | 4
10650 | 116168 | Hypecoum | 角茴香属 | 4
10650 | 317303 | Ichtyoselmis | 黄药属 | 1
10650 | 117544 | Lamprocapnos | 荷包牡丹属 | 1
10650 | 119273 | Macleaya | 博落回属 | 2
10650 | 119934 | Meconopsis | 绿绒蒿属 | 63
10650 | 123791 | Papaver | 罂粟属 | 7
10650 | 128683 | Roemeria | 疆罂粟属 | 2
10650 | 131844 | Stylophorum | 金罂粟属 | 2
10656 | 100532 | Adenia | 蒴莲属 | 3
10656 | 124132 | Passiflora | 西番莲属 | 20
10658 | 130195 | Sesamum | 胡麻属 | 1
10658 | 133289 | Trapella | 茶菱属 | 1
20222 | 124258 | Peganum | 骆驼蓬属 | 3
10661 | 124409 | Pentaphragma | 五膜草属 | 2
10662 | 124411 | Pentaphylax | 五列木属 | 1
10676 | 125015 | Philydrum | 田葱属 | 1
20234 | 112149 | Erythranthe |   | 9
20234 | 125144 | Phryma | 透骨草属 | 1
10687 | 125362 | Phytolacca | 商陆属 | 4
10687 | 128629 | Rivina | 数珠珊瑚属 | 1
10691 | 100024 | Abies | 冷杉属 | 35
10691 | 105883 | Cathaya | 银杉属 | 1
10691 | 105979 | Cedrus | 雪松属 | 2
10691 | 117075 | Keteleeria | 油杉属 | 11
10691 | 117628 | Larix | 落叶松属 | 16
10691 | 125375 | Picea | 云杉属 | 31
10691 | 125519 | Pinus | 松属 | 66
10691 | 127117 | Pseudolarix | 金钱松属 | 1
10691 | 127289 | Pseudotsuga | 黄杉属 | 7
10691 | 133931 | Tsuga | 铁杉属 | 9
10692 | 124469 | Peperomia | 草胡椒属 | 7
10692 | 125531 | Piper | 胡椒属 | 71
10692 | 135328 | Zippelia | 齐头绒属 | 1
10695 | 125638 | Pittosporum | 海桐花属 | 74
20242 | 125702 | Plagiopteron | 斜翼属 | 1
10701 | 125735 | Plantago | 车前属 | 27
10703 | 125747 | Platanus | 悬铃木属 | 3
10710 | 100101 | Acantholimon | 彩花属 | 12
10710 | 106206 | Ceratostigma | 蓝雪花属 | 5
10710 | 113881 | Goniolimon | 驼舌草属 | 6
10710 | 116360 | Ikonnikovia | 伊犁花属 | 1
10710 | 118606 | Limonium | 补血草属 | 27
10710 | 126106 | Plumbagella | 鸡娃草属 | 1
10710 | 126108 | Plumbago | 白花丹属 | 5
10711 | 100203 | Achnatherum | 芨芨草属 | 20
10711 | 100251 | Acidosasa | 酸竹属 | 11
10711 | 100316 | Acrachne | 尖稃草属 | 1
10711 | 100342 | Acroceras | 凤头黍属 | 2
10711 | 100654 | Aegilops | 山羊草属 | 1
10711 | 100671 | Aeluropus | 獐毛属 | 6
10711 | 100844 | Agropyron | 冰草属 | 13
10711 | 100853 | Agrostis | 剪股颖属 | 25
10711 | 100893 | Aira | 银须草属 | 1
10711 | 101140 | Alloteropsis | 毛颖草属 | 4
10711 | 101178 | Alopecurus | 看麦娘属 | 8
10711 | 101410 | Ampelocalamus | 悬竹属 | 13
10711 | 101693 | Andropogon | 须芒草属 | 2
10711 | 101816 | Aniselytron | 沟稃草属 | 2
